datetime,open,high,low,close,volume,hold,symbol,period
2025-09-11 22:28:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:29:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:30:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:31:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:32:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:33:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:34:00,80410.0,80410.0,80410.0,80410.0,30,13805,CU2509,1
2025-09-11 22:35:00,80410.0,80410.0,80410.0,80410.0,0,13805,CU2509,1
2025-09-11 22:36:00,80410.0,80410.0,80410.0,80410.0,0,13805,CU2509,1
2025-09-11 22:37:00,80410.0,80410.0,80410.0,80410.0,0,13805,CU2509,1
2025-09-11 22:38:00,80410.0,80410.0,80410.0,80410.0,0,13805,CU2509,1
2025-09-11 22:39:00,80410.0,80410.0,80410.0,80410.0,0,13805,CU2509,1
2025-09-11 22:40:00,80410.0,80420.0,80410.0,80420.0,15,13790,CU2509,1
2025-09-11 22:41:00,80420.0,80420.0,80410.0,80410.0,10,13790,CU2509,1
2025-09-11 22:42:00,80410.0,80410.0,80410.0,80410.0,0,13790,CU2509,1
2025-09-11 22:43:00,80410.0,80410.0,80410.0,80410.0,0,13790,CU2509,1
2025-09-11 22:44:00,80410.0,80410.0,80410.0,80410.0,0,13790,CU2509,1
2025-09-11 22:45:00,80410.0,80410.0,80380.0,80380.0,20,13770,CU2509,1
2025-09-11 22:46:00,80380.0,80380.0,80380.0,80380.0,20,13750,CU2509,1
2025-09-11 22:47:00,80380.0,80380.0,80380.0,80380.0,0,13750,CU2509,1
2025-09-11 22:48:00,80380.0,80380.0,80380.0,80380.0,0,13750,CU2509,1
2025-09-11 22:49:00,80380.0,80380.0,80380.0,80380.0,0,13750,CU2509,1
2025-09-11 22:50:00,80380.0,80380.0,80380.0,80380.0,0,13750,CU2509,1
2025-09-11 22:51:00,80380.0,80380.0,80380.0,80380.0,0,13750,CU2509,1
